Opgave: 30-jun-2024 – Santackergaard1 bij: Santackergaard,Kleigrond,60-120 centimeter onder het maaiveld,0.92,2017,3,8413,20240630,,,Zeldzaam,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,Zeldzaam,Talrijk,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,Zeldzaam,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,Talrijk,,,Zeldzaam,,,,,Schaars,,,,,Talrijk,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,Schaars,,,,,,,,,Zeldzaam,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,Talrijk,,,,,,,Talrijk,,,,,,,,,Schaars,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,Talrijk,,,,,,,Talrijk,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,Zeldzaam,Schaars,,,,Talrijk,,,,,,,,,,,,,,,,['Natuur'],2 kilometer,[12181],Weiland
Opgave: 29-jun-2024 – bij: Lydia&#8217;s landje,Zandgrond,60-120 centimeter onder het maaiveld,0.80,2023,4,12000,20240629,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,Schaars,,Talrijk,,,,,Talrijk,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,Talrijk,Talrijk,,,,,,,,,,,,,,,,,Zeldzaam,,Zeldzaam,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Wonen', '(Archeologische of landschappelijke) waarde']",meer dan 2 kilometer,[37423],"Deels bos, weiland en boomgaard"
Opgave: 29-jun-2024 – bij: de Mors,Zandgrond,60-120 centimeter onder het maaiveld,0.88,2022,2,5000,20240629,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,Schaars,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,Talrijk,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,Schaars,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,Talrijk,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",[39915],Weiland
Opgave: 24-mei-2024 – bij: Waalgaard,Bovenste 50 cm zavel daaronder rivierklei,dieper,0.83,2020,2,27300,20240524,,,,,,,,,,Talrijk,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,Talrijk,,Zeldzaam,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,Zeldzaam,,,,,,,,,Schaars,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,Schaars,,Zeldzaam,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,Talrijk,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,Zeldzaam,,,,,Zeldzaam,,,,,,,,,,,"['Agrarisch', '(Archeologische of landschappelijke) waarde']","0,5 kilometer",[39182],Boomgaard
Opgave: 24-mei-2024 – bij: Waalgaard,Bovenste 50 cm zavel daaronder rivierklei,dieper,0.91,2020,2,27300,20240524,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,Talrijk,,Zeldzaam,,,,,,,,,,,,,,,,,,,,Schaars,,,,Zeldzaam,,,,,,Zeldzaam,,,Schaars,,,,,,,,,,,,,Schaars,,,Zeldzaam,,Schaars,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,Talrijk,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,Zeldzaam,,,,,,,,,,,,,Talrijk,,,,,,,,,,Zeldzaam,Zeldzaam,,,,,,,,,,,Talrijk,,,,,Schaars,,,,Schaars,,,,,Zeldzaam,,,,,,,,,,,"['Agrarisch', '(Archeologische of landschappelijke) waarde']","0,5 kilometer",[39181],Boomgaard
Opgave: 24-mei-2024 – bij: Waalgaard,Bovenste 50 cm zavel daaronder rivierklei,dieper,0.86,2020,2,27300,20240524,,,,,,,,,,Talrijk,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,Talrijk,,,Schaars,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,Schaars,,,Schaars,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,Schaars,,,,,,,,,,,,,,,,"['Agrarisch', '(Archeologische of landschappelijke) waarde']","0,5 kilometer",[39180],Boomgaard
Opgave: 28-jun-2024 – Three birches bij: The Seed &#8211; Socially and Ecologically Enriching Dwelling,Sandy soil,15 centimeter onder het maaiveld,0.94,2019,60,3500,20240628,,,,Schaars,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,Talrijk,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,Talrijk,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,Zeldzaam,['Countryside'],Het voedselbos grenst aan natuur,[10810],Garden
Opgave: 28-jun-2024 – bij: Lubosch Land,"Löss, silt of lemig zand",dieper,0.75,2021,1,50.000,20240628,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",[19563],Weiland
Opgave: 28-jun-2024 – bij: Lubosch Land,"Löss, silt of lemig zand",dieper,0.00,2021,1,50.000,20240628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",[19561],Weiland
Opgave: 28-jun-2024 – bij: Lubosch Land,"Löss, silt of lemig zand",dieper,nan,2021,1,50.000,20240628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",[19562],Weiland
Opgave: 28-jun-2024 – bij: Eetlust,Kleigrond,15-60 centimeter onder het maaiveld,0.86,2023,3.5,22000,20240628,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,Zeldzaam,,,,,,,,,,,,,,,,['Agrarisch'],meer dan 2 kilometer,[42486],Akkerbouw
Opgave: 28-jun-2024 – bij: Eetlust,Kleigrond,15-60 centimeter onder het maaiveld,0.91,2023,3.5,22000,20240628,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,Schaars,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,Soort domineert (gehele plot wordt er door bedekt),Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,Zeldzaam,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,['Agrarisch'],meer dan 2 kilometer,[42483],Akkerbouw
Opgave: 27-jun-2024 – bij: de Amstelaar,70 cm klei op veen,15-60 centimeter onder het maaiveld,0.85,2023,5,10000,20240627,,,,,,,,,Talrijk,,Talrijk,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,Talrijk,,,,Schaars,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,['Recreatie'],meer dan 2 kilometer,[42466],Boomgaard
Opgave: 27-jun-2024 – Treurwilg bij: Greenlife,Zandgrond,dieper,0.86,2020,10,8.500,20240627,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,['(Archeologische of landschappelijke) waarde'],Het voedselbos grenst aan natuur,[13381],Weiland
Opgave: 26-jun-2024 – bij: Voedselbos Laude,zand met dun laagje vruchtbare aarde,15 centimeter onder het maaiveld,0.89,2022,1,10.000,20240626,,,,,,,,Schaars,,Talrijk,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,Talrijk,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,Schaars,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,Schaars,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,Talrijk,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",[36694],Akkerbouw
Opgave: 25-jun-2024 – Plot 1 bij: De Parkse Gaard,Kleigrond,60-120 centimeter onder het maaiveld,0.93,2016,4,15.000,20240625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,Talrijk,,,,,,,Schaars,,,,,,,,,,Schaars,,Schaars,Schaars,,Talrijk,,Schaars,,,,,,,,,,,Schaars,,,,Schaars,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,Schaars,Schaars,,,,,,,,Talrijk,,,,Schaars,,,,,Talrijk,,,,,,,Zeldzaam,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,Zeldzaam,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,Schaars,,,Schaars,,,,,Schaars,,,,,Zeldzaam,,,,,,,,Schaars,Schaars,,,,,,,,,,,,,,Zeldzaam,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Natuur'],"0,5 kilometer",[1085],Weiland
Opgave: 25-jun-2024 – bij: Lubosch Land,"Löss, silt of lemig zand",dieper,0.21,2021,1,50.000,20240625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",[19560],Weiland
Opgave: 25-jun-2024 – bij: Lubosch Land,"Löss, silt of lemig zand",dieper,0.11,2021,1,50.000,20240625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",[19559],Weiland
Opgave: 23-jun-2024 – bij: De Kleine Tuin,Zandgrond,60-120 centimeter onder het maaiveld,0.86,2018,2,20000,20240623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,Talrijk,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,Talrijk,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,Schaars,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,Zeldzaam,,,,,,,,,,,,,,,,"['Agrarisch', 'Bos', 'Natuur']",Het voedselbos grenst aan natuur,[30359],Gemengd bos
