titel,grondsoort,grondwaterstand,Biodiversiteitsindex,startjaar,leeftijd plot,oppervlak,Datum,Egelantier8,Fruitboom1,Fruitboom10,Fruitboom11,Fruitboom12,Fruitboom13,Fruitboom14,Fruitboom15,Fruitboom16,Fruitboom17,Fruitboom18,Fruitboom19,Fruitboom2,Fruitboom20,Fruitboom21,Fruitboom22,Fruitboom23,Fruitboom24,Fruitboom25,Fruitboom26,Fruitboom27,Fruitboom28,Fruitboom29,Fruitboom3,Fruitboom30,Fruitboom31,Fruitboom33,Fruitboom34,Fruitboom4,Fruitboom42,Fruitboom43,Fruitboom44,Fruitboom45,Fruitboom46,Fruitboom47,Fruitboom48,Fruitboom49,Fruitboom5,Fruitboom50,Fruitboom51,Fruitboom52,Fruitboom53,Fruitboom54,Fruitboom6,Fruitboom7,Fruitboom8,Fruitboom9,Grote struik11,Grote struik12,Grote struik13,Grote struik14,Grote struik15,Grote struik16,Grote struik18,Grote struik19,Grote struik2,Grote struik20,Grote struik21,Grote struik22,Grote struik23,Grote struik24,Grote struik25,Grote struik3,Grote struik4,Grote struik47,Grote struik5,Grote struik55,Grote struik6,Grote struik7,Grote struik8,Grote struik9,KgCO2/Ha,Naaldboom1,Naaldboom10,Naaldboom11,Naaldboom12,Naaldboom13,Naaldboom14,Naaldboom15,Naaldboom16,Naaldboom17,Naaldboom18,Naaldboom2,Naaldboom23,Naaldboom3,Naaldboom4,Naaldboom5,Naaldboom6,Naaldboom7,Naaldboom8,Naaldboom9,Notenboom1,Notenboom12,Notenboom14,Notenboom19,Notenboom2,Notenboom3,Notenboom32,Notenboom33,Notenboom34,Notenboom35,Notenboom36,Notenboom37,Notenboom38,Notenboom39,Notenboom4,Notenboom40,Notenboom41,Notenboom5,Notenboom9,Overig loofboom1,Overig loofboom10,Overig loofboom11,Overig loofboom12,Overig loofboom13,Overig loofboom14,Overig loofboom15,Overig loofboom16,Overig loofboom17,Overig loofboom18,Overig loofboom2,Overig loofboom24,Overig loofboom26,Overig loofboom27,Overig loofboom28,Overig loofboom29,Overig loofboom3,Overig loofboom30,Overig loofboom31,Overig loofboom32,Overig loofboom35,Overig loofboom36,Overig loofboom37,Overig loofboom38,Overig loofboom39,Overig loofboom40,Overig loofboom41,Overig loofboom42,Overig loofboom43,Overig loofboom45,Overig loofboom48,Overig loofboom5,Overig loofboom56,Overig loofboom57,Overig loofboom58,Overig loofboom59,Overig loofboom6,Overig loofboom7,Overig loofboom8,Overig loofboom9,Pionier/wijker1,Pionier/wijker10,Pionier/wijker11,Pionier/wijker12,Pionier/wijker13,Pionier/wijker14,Pionier/wijker15,Pionier/wijker16,Pionier/wijker17,Pionier/wijker18,Pionier/wijker19,Pionier/wijker2,Pionier/wijker20,Pionier/wijker21,Pionier/wijker22,Pionier/wijker23,Pionier/wijker24,Pionier/wijker25,Pionier/wijker26,Pionier/wijker3,Pionier/wijker4,Pionier/wijker5,Pionier/wijker6,Pionier/wijker7,Pionier/wijker8,Pionier/wijker9,bestemming,dichtsbijzijnde natuur,diverse jonge loofbomen4,gezamelijk jonge bessenstruiken3,plot,provincie,uitgangssituatie
,Zandgrond,60-120 centimeter onder het maaiveld,,2018,5,27500,20200524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agrarisch', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,,,[831],Groningen,Boomkwekerij 
,rots ,dieper,,2018,5,19995,20200511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bos'],Het ligt midden in of pal naast de natuur,,,[702],Schotland,productie bos 
,,,,,10,,20200506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[462],,
,mix,15 centimeter onder het maaiveld,,2021,25,45000,20210414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 70 ', 'hoogte: 2500 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,['Recreatie'],Het voedselbos grenst aan natuur,,,[34506],Zuid-Holland,Weiland
,Zandgrond,15 centimeter onder het maaiveld,,2021,1,6,20211102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 6 ', 'hoogte: 140 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,"['diameter: 5 ', 'hoogte: 150 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['(Archeologische of landschappelijke) waarde'],meer dan 2 kilometer,,,[13878],Noord-Holland,Bouw/kale grond
,"Los, silt of lemig zand",dieper,,2018,15,15000,20211013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 13 ', 'hoogte: 208 ', 'boomklasse: Dit is een levende boom']","['diameter: 12 ', 'hoogte: 216 ', 'boomklasse: Dit is een levende boom']","['diameter: 16 ', 'hoogte: 214 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,15945,,,,,,,,,,,,,"['diameter: 12 ', 'hoogte: 319 ', 'boomklasse: Dit is een levende boom']","['diameter: 20 ', 'hoogte: 408 ', 'boomklasse: Dit is een levende boom']","['diameter: 14 ', 'hoogte: 310 ', 'boomklasse: Dit is een levende boom']",,,,"['diameter: 10 ', 'hoogte: 211 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,"['diameter: 20 ', 'hoogte: 1000 ', 'boomklasse: Dit is een levende boom']","['diameter: 19 ', 'hoogte: 435 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,"['diameter: 10 ', 'hoogte: 201 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agrarisch', 'Bos']","0,5 kilometer",,,[3518],Aragón,Akkerbouw
,Zandgrond,60-120 centimeter onder het maaiveld,,2021,40,10.000,20211006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 12.7 ', 'hoogte: 1365 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 12.8 ', 'hoogte: 1400 ', 'boomklasse: Dit is een levende boom']","['diameter: 12.9 ', 'hoogte: 900 ', 'boomklasse: Dit is een levende boom']","['diameter: 14.33 ', 'hoogte: 600 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,429684,"['diameter: 32 ', 'hoogte: 2400 ', 'boomklasse: Dit is een levende boom']","['diameter: 16 ', 'hoogte: 1200 ', 'boomklasse: Dit is een levende boom']","['diameter: 16 ', 'hoogte: 1000 ', 'boomklasse: Dit is een dode boom']","['diameter: 25 ', 'hoogte: 2200 ', 'boomklasse: Dit is een levende boom']","['diameter: 24 ', 'hoogte: 2100 ', 'boomklasse: Dit is een levende boom']","['diameter: 25 ', 'hoogte: 2150 ', 'boomklasse: Dit is een levende boom']","['diameter: 24.5 ', 'hoogte: 2100 ', 'boomklasse: Dit is een levende boom']","['diameter: 25 ', 'hoogte: 2100 ', 'boomklasse: Dit is een levende boom']","['diameter: 24.5 ', 'hoogte: 2100 ', 'boomklasse: Dit is een levende boom']","['diameter: 12.7 ', 'hoogte: 1400 ', 'boomklasse: Dit is een levende boom']","['diameter: 33 ', 'hoogte: 2400 ', 'boomklasse: Dit is een levende boom']","['diameter: 20.7 ', 'hoogte: 2250 ', 'boomklasse: Dit is een levende boom']","['diameter: 30 ', 'hoogte: 2300 ', 'boomklasse: Dit is een levende boom']","['diameter: 24 ', 'hoogte: 800 ', 'boomklasse: Dit is een dode boom']","['diameter: 44.5 ', 'hoogte: 2350 ', 'boomklasse: Dit is een levende boom']","['diameter: 19 ', 'hoogte: 1950 ', 'boomklasse: Dit is een levende boom']","['diameter: 19 ', 'hoogte: 2000 ', 'boomklasse: Dit is een levende boom']","['diameter: 12.7 ', 'hoogte: 2000 ', 'boomklasse: Dit is een levende boom']","['diameter: 12.8 ', 'hoogte: 2000 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agrarisch', '(Archeologische of landschappelijke) waarde']","0,5 kilometer",,,[13440],Drenthe,Gemengd bos
,Veen/klei grond met daarboven een laag organisch materiaal.,15 centimeter onder het maaiveld,,2021,1,400,20211002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,"['diameter: 1.5 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,"['diameter: 1.5 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']","['diameter: 2 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,"['diameter: 2.5 ', 'hoogte: 170 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 4 ', 'hoogte: 400 ', 'boomklasse: Dit is een levende boom']",,,,,['Recreatie'],Het voedselbos grenst aan natuur,,,[13372],Zuid-Holland,Bouw/kale grond
,Zandgrond,15 centimeter onder het maaiveld,,2021,5,6000,20210930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2809620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 399 ', 'hoogte: 2400 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 6 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,,,,,"['diameter: 11 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']","['diameter: 19 ', 'hoogte: 628 ', 'boomklasse: Dit is een dode boom']",,,,,,"['Bos', 'Wonen']","0,5 kilometer",,,[13343],Gelderland,Gemengd bos
,Zandgrond,15 centimeters below ground level,,20210101,60,140000,20210720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bos', 'Natuur']",The food forest borders on nature,,,[1175],Gelderland,Naaldbos
,Zandgrond,15 centimeters below ground level,,20210101,60,140000,20210720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bos', 'Natuur']",The food forest borders on nature,,,[1165],Gelderland,Naaldbos
,Kleigrond,15-60 centimeter onder het maaiveld,,2019,0,15.000,20210804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 6 ', 'hoogte: 206 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",,,[1351],Utrecht,"weiland, kale grond en tuin"
,"Loess, silt or loamy sand",15 centimeters below ground level,,20211101,0,10000,20210809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agricultural'],"0,5 kilometer",,,[12263],Wallonie,Grass fields
,zanddek op veen ,60-120 centimeter onder het maaiveld,,2015,6,20000,20210726,,,"['diameter: 4.14 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']",,,,,,"['diameter: 4.5 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']","['diameter: 4 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,,"['diameter: 2.86 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']","['diameter: 5.5 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']","['diameter: 3.34 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 4 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 4 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']","['diameter: 4.14 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']","['diameter: 2.86 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']","['diameter: 5.15 ', 'hoogte: 220 ', 'boomklasse: Dit is een levende boom']","['diameter: 2.86 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']","['diameter: 1.75 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']","['diameter: 5.5 ', 'hoogte: 220 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 4.3 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']","['diameter: 4.3 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 4.46 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']",,,,"['diameter: 2.39 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']",,,"['diameter: 2.86 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 1.59 ', 'hoogte: 220 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 1.59 ', 'hoogte: 220 ', 'boomklasse: Dit is een levende boom']","['diameter: 5.5 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']",,,2143,,,,,,,,,,,,,,,,,,,,"['diameter: 7.96 ', 'hoogte: 560 ', 'boomklasse: Dit is een levende boom']",,,,"['diameter: 3.18 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']","['diameter: 3.05 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",,,[11930],Noord-Brabant,Akkerbouw
,Zandgrond,60-120 centimeter onder het maaiveld,,2017,2,6000,20210721,,,"['diameter: 2 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']","['diameter: 2 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']","['diameter: 1 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']","['diameter: 2 ', 'hoogte: 210 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,"['diameter: 1 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']","['diameter: 1 ', 'hoogte: 160 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,"['diameter: 2 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,,,"['diameter: 2 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']","['diameter: 1 ', 'hoogte: 160 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 4 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,1576,,,,,,,,,,,,,,,,,,,,"['diameter: 1 ', 'hoogte: 130 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 5 ', 'hoogte: 400 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 1 ', 'hoogte: 130 ', 'boomklasse: Dit is een levende boom']","['diameter: 1 ', 'hoogte: 130 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,"['diameter: 1 ', 'hoogte: 130 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,"['diameter: 1 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,,"['diameter: 1 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 1 ', 'hoogte: 140 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,"['diameter: 6 ', 'hoogte: 700 ', 'boomklasse: Dit is een levende boom']","['diameter: 4 ', 'hoogte: 500 ', 'boomklasse: Dit is een levende boom']","['diameter: 4 ', 'hoogte: 600 ', 'boomklasse: Dit is een levende boom']","['diameter: 2 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 5 ', 'hoogte: 500 ', 'boomklasse: Dit is een levende boom']","['diameter: 5 ', 'hoogte: 700 ', 'boomklasse: Dit is een levende boom']","['diameter: 6 ', 'hoogte: 600 ', 'boomklasse: Dit is een levende boom']","['diameter: 4 ', 'hoogte: 600 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 2 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']","['diameter: 3 ', 'hoogte: 400 ', 'boomklasse: Dit is een levende boom']",,,,,,,,"['Agrarisch', 'Wonen']","0,5 kilometer",,,[928],Noord-Brabant,Akkerbouw
,"Löss, silt of lemig zand",15 centimeter onder het maaiveld,,2016,-1,10.000,20210705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],2 kilometer,,,[12066],Noord-Brabant,loofbos en weiland
,Zandgrond,15-60 centimeter onder het maaiveld,,2019,0,10000,20210721,,,,,,,,,,,,,"['diameter: 2 ', 'hoogte: 190 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 1 ', 'hoogte: 130 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,22,,,,,,,,,,,,,,,,,,,,"['diameter: 1.5 ', 'hoogte: 140 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agrarisch', 'Wonen']","0,5 kilometer",,,[1319],Gelderland,Weiland
,lemig zand en rulle klei ,15-60 centimeter onder het maaiveld,,2018,25,10.200,20210716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 15 ', 'hoogte: 280 ', 'boomklasse: Dit is een levende boom']",,,,,,,,164604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 60 ', 'hoogte: 1800 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,"['diameter: 45 ', 'hoogte: 1600 ', 'boomklasse: Dit is een levende boom']",,,,,,"['diameter: 48 ', 'hoogte: 400 ', 'boomklasse: Dit is een dode boom']",,,,,,,,,,,,,,,"['diameter: 12 ', 'hoogte: 425 ', 'boomklasse: Dit is een levende boom']",,,,,"['diameter: 46 ', 'hoogte: 250 ', 'boomklasse: Dit is een dode boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Natuur'],"0,5 kilometer",,,[12011],Noord-Holland,Gemengd bos
,Kleigrond,15-60 centimeter onder het maaiveld,,2016,5,10000,20210715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 9 ', 'hoogte: 350 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,"['diameter: 7.64 ', 'hoogte: 500 ', 'boomklasse: Dit is een levende boom']",,,,,,"['diameter: 7 ', 'hoogte: 500 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Recreatie', 'Natuur']","0,5 kilometer",,,[11989],Gelderland,Akkerbouw
,Kleigrond,60-120 centimeter onder het maaiveld,,2020,0.5,12500,20210706,,"['diameter: 2.5 ', 'hoogte: 180 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 2.5 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 2 ', 'hoogte: 190 ', 'boomklasse: Dit is een levende boom']","['diameter: 1.5 ', 'hoogte: 170 ', 'boomklasse: Dit is een levende boom']",,,,,,"['diameter: 2.5 ', 'hoogte: 180 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,"['diameter: 2.5 ', 'hoogte: 150 ', 'boomklasse: Dit is een levende boom']",,,,,"['diameter: 1.5 ', 'hoogte: 150 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,"['diameter: 2 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']","['diameter: 2.5 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,52055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 21 ', 'hoogte: 200 ', 'boomklasse: Dit is een dode boom']",,,,"['diameter: 34 ', 'hoogte: 2500 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 20 ', 'hoogte: 2200 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,"['diameter: 26 ', 'hoogte: 2100 ', 'boomklasse: Dit is een levende boom']","['diameter: 26 ', 'hoogte: 2100 ', 'boomklasse: Dit is een levende boom']",,,,['Bos'],2 kilometer,,,[11982],Friesland,Gemengd bos
,Zandgrond,60-120 centimeter onder het maaiveld,,2014,6,3500,20210714,,"['diameter: 9.87 ', 'hoogte: 510 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,"['diameter: 12.38 ', 'hoogte: 510 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,"['diameter: 7.32 ', 'hoogte: 430 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 7.17 ', 'hoogte: 650 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Wonen'],meer dan 2 kilometer,,,[11978],Noord-Brabant,Weiland
