titel,grondsoort,grondwaterstand,Biodiversiteitsindex,startjaar,leeftijd plot,oppervlak,Datum,Egelantier8,Fruitboom1,Fruitboom10,Fruitboom11,Fruitboom12,Fruitboom13,Fruitboom14,Fruitboom15,Fruitboom16,Fruitboom17,Fruitboom18,Fruitboom19,Fruitboom2,Fruitboom20,Fruitboom21,Fruitboom22,Fruitboom23,Fruitboom24,Fruitboom25,Fruitboom26,Fruitboom27,Fruitboom28,Fruitboom29,Fruitboom3,Fruitboom30,Fruitboom31,Fruitboom33,Fruitboom34,Fruitboom4,Fruitboom42,Fruitboom43,Fruitboom44,Fruitboom45,Fruitboom46,Fruitboom47,Fruitboom48,Fruitboom49,Fruitboom5,Fruitboom50,Fruitboom51,Fruitboom52,Fruitboom53,Fruitboom54,Fruitboom6,Fruitboom7,Fruitboom8,Fruitboom9,Grote struik11,Grote struik12,Grote struik13,Grote struik14,Grote struik15,Grote struik16,Grote struik18,Grote struik19,Grote struik2,Grote struik20,Grote struik21,Grote struik22,Grote struik23,Grote struik24,Grote struik25,Grote struik3,Grote struik4,Grote struik47,Grote struik5,Grote struik55,Grote struik6,Grote struik7,Grote struik8,Grote struik9,KgCO2/Ha,Naaldboom1,Naaldboom10,Naaldboom11,Naaldboom12,Naaldboom13,Naaldboom14,Naaldboom15,Naaldboom16,Naaldboom17,Naaldboom18,Naaldboom2,Naaldboom23,Naaldboom3,Naaldboom4,Naaldboom5,Naaldboom6,Naaldboom7,Naaldboom8,Naaldboom9,Notenboom1,Notenboom12,Notenboom14,Notenboom19,Notenboom2,Notenboom3,Notenboom32,Notenboom33,Notenboom34,Notenboom35,Notenboom36,Notenboom37,Notenboom38,Notenboom39,Notenboom4,Notenboom40,Notenboom41,Notenboom5,Notenboom9,Overig loofboom1,Overig loofboom10,Overig loofboom11,Overig loofboom12,Overig loofboom13,Overig loofboom14,Overig loofboom15,Overig loofboom16,Overig loofboom17,Overig loofboom18,Overig loofboom2,Overig loofboom24,Overig loofboom26,Overig loofboom27,Overig loofboom28,Overig loofboom29,Overig loofboom3,Overig loofboom30,Overig loofboom31,Overig loofboom32,Overig loofboom35,Overig loofboom36,Overig loofboom37,Overig loofboom38,Overig loofboom39,Overig loofboom40,Overig loofboom41,Overig loofboom42,Overig loofboom43,Overig loofboom45,Overig loofboom48,Overig loofboom5,Overig loofboom56,Overig loofboom57,Overig loofboom58,Overig loofboom59,Overig loofboom6,Overig loofboom7,Overig loofboom8,Overig loofboom9,Pionier/wijker1,Pionier/wijker10,Pionier/wijker11,Pionier/wijker12,Pionier/wijker13,Pionier/wijker14,Pionier/wijker15,Pionier/wijker16,Pionier/wijker17,Pionier/wijker18,Pionier/wijker19,Pionier/wijker2,Pionier/wijker20,Pionier/wijker21,Pionier/wijker22,Pionier/wijker23,Pionier/wijker24,Pionier/wijker25,Pionier/wijker26,Pionier/wijker3,Pionier/wijker4,Pionier/wijker5,Pionier/wijker6,Pionier/wijker7,Pionier/wijker8,Pionier/wijker9,bestemming,dichtsbijzijnde natuur,diverse jonge loofbomen4,gezamelijk jonge bessenstruiken3,plot,provincie,uitgangssituatie
,Zandgrond,15 centimeter onder het maaiveld,,2011,8,13500,20210702,,"['diameter: 9 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3910,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 12 ', 'hoogte: 280 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 15 ', 'hoogte: 410 ', 'boomklasse: Dit is een levende boom']","['diameter: 12 ', 'hoogte: 380 ', 'boomklasse: Dit is een levende boom']",,,,,,['Bos'],"0,5 kilometer",,,[11891],Overijssel,Naaldbos
,Zandgrond,15 centimeter onder het maaiveld,,2011,8,13500,20210702,,"['diameter: 9 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3910,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 12 ', 'hoogte: 280 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 15 ', 'hoogte: 410 ', 'boomklasse: Dit is een levende boom']","['diameter: 12 ', 'hoogte: 380 ', 'boomklasse: Dit is een levende boom']",,,,,,['Bos'],"0,5 kilometer",,,[11891],Overijssel,Naaldbos
,Kleigrond,15-60 centimeter onder het maaiveld,,2021,0.5,5000,20210705,,"['diameter: 3.5 ', 'hoogte: 420 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agrarisch', 'Wonen']",Het voedselbos grenst aan natuur,,,[11749],Utrecht,Weiland
,"Löss, silt of lemig zand",15-60 centimeter onder het maaiveld,,2021,2,75000,20210630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 2 ', 'hoogte: 150 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,"['diameter: 5.5 ', 'hoogte: 350 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Groen', 'Natuur']",2 kilometer,,,[11565],Limburg,Bouw/kale grond
,Zandgrond,dieper,,2012,12,1000,20210629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 400 ', 'hoogte: 400 ', 'boomklasse: Dit is een levende boom']","['diameter: 145 ', 'hoogte: 600 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,4716568,"['diameter: 240 ', 'hoogte: 2000 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,"['diameter: 23 ', 'hoogte: 300 ', 'boomklasse: Dit is een dode boom']","['diameter: 11 ', 'hoogte: 600 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 43 ', 'hoogte: 1200 ', 'boomklasse: Dit is een levende boom']","['diameter: 11 ', 'hoogte: 600 ', 'boomklasse: Dit is een levende boom']",,,,,,,,"['diameter: 90 ', 'hoogte: 1400 ', 'boomklasse: Dit is een levende boom']",,,,,,"['diameter: 41 ', 'hoogte: 800 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,"['diameter: 65 ', 'hoogte: 1000 ', 'boomklasse: Dit is een levende boom']","['diameter: 45 ', 'hoogte: 1000 ', 'boomklasse: Dit is een levende boom']","['diameter: 13 ', 'hoogte: 1000 ', 'boomklasse: Dit is een levende boom']","['diameter: 30 ', 'hoogte: 1000 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,['Wonen'],"0,5 kilometer",,,[11532],Gelderland,Tuin
,Kleigrond,60-120 centimeter onder het maaiveld,,2016,4,15.000,20210621,,"['diameter: 5.5 ', 'hoogte: 350 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,"['diameter: 4.8 ', 'hoogte: 350 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,"['diameter: 2.7 ', 'hoogte: 430 ', 'boomklasse: Dit is een levende boom']",,,,,"['diameter: 2.8 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,"['diameter: 3.2 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Natuur'],"0,5 kilometer",,,[1085],Gelderland,Weiland
,Kleigrond,60-120 centimeter onder het maaiveld,,2016,4,15.000,20210621,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 2.3 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,,,,,,,,,,,,,,,,,,,,"['diameter: 2.8 ', 'hoogte: 320 ', 'boomklasse: Dit is een levende boom']",,,,"['diameter: 4.3 ', 'hoogte: 400 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,"['diameter: 2.6 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Natuur'],"0,5 kilometer",,,[1054],Gelderland,Weiland
,Zandgrond,15-60 centimeter onder het maaiveld,,2020,1,8000,20210621,,"['diameter: 3 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 1 ', 'hoogte: 150 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agrarisch', '(Archeologische of landschappelijke) waarde']","0,5 kilometer",,,[11308],Gelderland,Weiland
,Zandgrond,dieper,,2021,0,6000,20210620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 34.4 ', 'hoogte: 1490 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,"['diameter: 39.8 ', 'hoogte: 1580 ', 'boomklasse: Dit is een levende boom']",,,,,,"['diameter: 32.5 ', 'hoogte: 1640 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agrarisch', 'Natuur', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,,,[11298],Gelderland,Weiland
,Kleigrond,dieper,,2021,1,25000,20210612,,,,,,,,,,,,,"['diameter: 1 ', 'hoogte: 220 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,"['diameter: 1 ', 'hoogte: 190 ', 'boomklasse: Dit is een levende boom']",,,,,"['diameter: 0.7 ', 'hoogte: 190 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 6.4 ', 'hoogte: 500 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,"['Natuur', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,,,[10900],Zuid-Holland,Bouw/kale grond
,Kleigrond,dieper,,2021,1,25000,20210612,,"['diameter: 0.9 ', 'hoogte: 140 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,"['diameter: 0.9 ', 'hoogte: 150 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,"['diameter: 3.5 ', 'hoogte: 500 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Natuur', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,,,[10901],Zuid-Holland,Bouw/kale grond
,Kleigrond,dieper,,2021,3,25000,20210612,,"['diameter: 6.4 ', 'hoogte: 500 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Natuur', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,,,[10902],Zuid-Holland,Bouw/kale grond
,Kleigrond,dieper,,2021,3,25000,20210612,,"['diameter: 6.4 ', 'hoogte: 500 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Natuur', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,,,[10902],Zuid-Holland,Bouw/kale grond
,Kleigrond,dieper,,2021,1,25000,20210612,,"['diameter: 2.5 ', 'hoogte: 360 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Natuur', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,,,[10904],Zuid-Holland,Bouw/kale grond
,Kleigrond,dieper,,2021,1,25000,20210612,,"['diameter: 0.7 ', 'hoogte: 140 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Natuur', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,,,[10903],Zuid-Holland,Bouw/kale grond
,,,,,2,,20210524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[10183],,
,Kleigrond,15-60 centimeter onder het maaiveld,,2019,1,60000,20210504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51307,,,,,,,,,,,,,,,,,,,,"['diameter: 35 ', 'hoogte: 2100 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bos'],meer dan 2 kilometer,,,[8964],Flevoland,Gemengd bos
,zand en veen,60-120 centimeter onder het maaiveld,,2019,60,4000,20210124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bos', 'Groen', 'Natuur']",Het voedselbos grenst aan natuur,,,[4876],Utrecht,Gemengd bos
,zand en veen,60-120 centimeter onder het maaiveld,,2019,60,3500,20210124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bos', 'Wonen', 'Natuur']",Het voedselbos grenst aan natuur,,,[4875],Utrecht,"tuin met gras, borders en bomen"
,Zandgrond,60-120 centimeter onder het maaiveld,,2020,0,18000,20221006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,,,,,,,,,,,,,,,,,,,,"['diameter: 9 ', 'hoogte: 240 ', 'boomklasse: Dit is een dode boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],2 kilometer,,,[933],Noord-Brabant,Weiland
,Zandgrond,60-120 centimeter onder het maaiveld,,2020,0,18000,20220830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 5 ', 'hoogte: 220 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],2 kilometer,,,[910],Noord-Brabant,Weiland
,"Löss, silt of lemig zand",dieper,,2016,6,800,20220729,,"['diameter: 1.9 ', 'hoogte: 290 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,"['diameter: 7.2 ', 'hoogte: 517 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,"['diameter: 4.5 ', 'hoogte: 224 ', 'boomklasse: Dit is een levende boom']",,,,,,"['diameter: 1 ', 'hoogte: 174 ', 'boomklasse: Dit is een levende boom']","['diameter: 5.1 ', 'hoogte: 319 ', 'boomklasse: Dit is een levende boom']","['diameter: 2.7 ', 'hoogte: 204 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,,,,"['diameter: 2.7 ', 'hoogte: 180 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,"['diameter: 3.5 ', 'hoogte: 318 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",,,[23309],Overijssel,Akkerbouw
,Zandgrond,dieper,,2019,8,28000,20220628,,"['diameter: 2.55 ', 'hoogte: 350 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,"['diameter: 1.27 ', 'hoogte: 180 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,"['diameter: 1.75 ', 'hoogte: 190 ', 'boomklasse: Dit is een levende boom']",,,,,"['diameter: 2.07 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,"['diameter: 1.91 ', 'hoogte: 155 ', 'boomklasse: Dit is een levende boom']",,,,,,"['diameter: 2.71 ', 'hoogte: 350 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agrarisch', 'Wonen', 'Natuur', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,,,[22898],Noord-Brabant,"Zowel naaldbos, akkerbouw, als weiland."
,Zandgrond,dieper,,2019,8,28000,20220526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 1.8 ', 'hoogte: 156 ', 'boomklasse: Dit is een levende boom']","['diameter: 1.43 ', 'hoogte: 230 ', 'boomklasse: Dit is een levende boom']","['diameter: 1.27 ', 'hoogte: 146 ', 'boomklasse: Dit is een levende boom']","['diameter: 1.11 ', 'hoogte: 185 ', 'boomklasse: Dit is een levende boom']",,,,,,,,"['diameter: 3.98 ', 'hoogte: 350 ', 'boomklasse: Dit is een levende boom']",,,,,,,,"['diameter: 1.75 ', 'hoogte: 220 ', 'boomklasse: Dit is een levende boom']","['diameter: 1.43 ', 'hoogte: 180 ', 'boomklasse: Dit is een levende boom']","['diameter: 3.82 ', 'hoogte: 550 ', 'boomklasse: Dit is een levende boom']","['diameter: 1.59 ', 'hoogte: 190 ', 'boomklasse: Dit is een levende boom']","['diameter: 1.11 ', 'hoogte: 175 ', 'boomklasse: Dit is een levende boom']","['diameter: 1.43 ', 'hoogte: 177 ', 'boomklasse: Dit is een levende boom']","['diameter: 0.95 ', 'hoogte: 155 ', 'boomklasse: Dit is een levende boom']","['Agrarisch', 'Wonen', 'Natuur', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,,,[22904],Noord-Brabant,"Zowel naaldbos, akkerbouw, als weiland."
,Zandgrond,dieper,,2019,8,28000,20220628,,,"['diameter: 1.43 ', 'hoogte: 160 ', 'boomklasse: Dit is een levende boom']",,,,,,,"['diameter: 1.43 ', 'hoogte: 160 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 6.05 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']",,,,"['diameter: 3.02 ', 'hoogte: 130 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 1.43 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 4.62 ', 'hoogte: 170 ', 'boomklasse: Dit is een levende boom']","['diameter: 3.02 ', 'hoogte: 180 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,"['diameter: 4.14 ', 'hoogte: 250 ', 'boomklasse: Dit is een levende boom']","['diameter: 2.23 ', 'hoogte: 150 ', 'boomklasse: Dit is een levende boom']","['diameter: 3.02 ', 'hoogte: 180 ', 'boomklasse: Dit is een levende boom']",789,,,,,,,,,,,,,,,,,,,,,"['diameter: 2.86 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 3.5 ', 'hoogte: 400 ', 'boomklasse: Dit is een levende boom']",,,,,"['diameter: 3.34 ', 'hoogte: 340 ', 'boomklasse: Dit is een levende boom']",,,,,,"['diameter: 3.02 ', 'hoogte: 350 ', 'boomklasse: Dit is een levende boom']",,,,,,,,"['diameter: 2.39 ', 'hoogte: 170 ', 'boomklasse: Dit is een levende boom']","['diameter: 3 ', 'hoogte: 350 ', 'boomklasse: Dit is een levende boom']","['diameter: 1.43 ', 'hoogte: 190 ', 'boomklasse: Dit is een levende boom']",,,,,"['Agrarisch', 'Wonen', 'Natuur', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,,,[22896],Noord-Brabant,"Zowel naaldbos, akkerbouw, als weiland."
