Name;Address;Latitude;Longitude
Food forest Vierhoeven Roosendaal;Nispenseweg 1A;51.513.182.820.318.000;4.474.986.454.643.190
Food Forest Wilderness;De Ruttestraat 11;51.420.605.340.640.300;5.192.964.546.958.110
Food forest Haverleij;P793+8M;51.718.596;5.252.470
Food forest Kleindongen;Klein Dongenseweg 81;51.641.617;4.952.325
Dream forest Leende;;51.359.917.409.725.700;5.569.345.605.993.530
't Mortelke;Het Mortelke 3;51.295.764;5.423.690
Voedselbos het Avontuur;Gaardsebaan 21;51.453.549.227.638.400;46.839.589.554.104.700
Voedselbos Biezenmortel;Biezenmortelsestraat 47;51.632.853;5.179.436
Voedselbos ‘s Heeren Vruchten;;51.533.894.791.614.000;4.670.422.404.581.660
Voedselbos Woest;Heintje Davidsstraat 7;51.734.895.499.018.900;5.343.549.148.539.780
The Eibernest Foundation;Hogebrug 3;51.395.529;5.874.088
;;;